supplier_id,supplier_name,supplier_country,industry,order_id,order_date,promised_delivery_date,actual_delivery_date,promised_lead_time_days,actual_lead_time_days,lead_time_variance_days,on_time_delivery,order_status,quantity_ordered,quantity_received,late_reason,quality_issue_flag
S018,"Bird, Ray And Walsh",Seychelles,Clothing,O00001,2024-04-18,2024-05-07,2024-05-04,19,16.0,-3.0,1,Completed,326,326,,0
S035,Meadows-Carr,Vanuatu,Food,O00002,2023-09-26,2023-10-19,2023-10-18,23,22.0,-1.0,1,Partial,189,170,,0
S032,"Perez, Mays And Miller",Bosnia and Herzegovina,Automotive,O00003,2024-06-10,2024-07-03,2024-07-04,23,24.0,1.0,0,Completed,623,623,Strike,0
S001,Jenkins Inc,Mongolia,Clothing,O00004,2023-10-25,2023-11-16,2023-11-22,22,28.0,6.0,0,Partial,401,396,Weather,0
S032,"Perez, Mays And Miller",Bosnia and Herzegovina,Automotive,O00005,2024-11-29,2024-12-23,2024-12-21,24,22.0,-2.0,1,Completed,109,109,,0
S046,"Roberts, Jones And Kim",Estonia,Automotive,O00006,2023-12-20,2024-01-04,2023-12-28,15,8.0,-7.0,1,Partial,631,620,,0
S048,Hodge Plc,Norfolk Island,Food,O00007,2024-02-21,2024-03-18,2024-03-11,26,19.0,-7.0,1,Completed,421,421,,0
S020,Mills Ltd,Rwanda,Automotive,O00008,2024-07-07,2024-07-22,2024-07-20,15,13.0,-2.0,1,Completed,66,66,,0
S021,Taylor-Collins,Sri Lanka,Clothing,O00009,2024-10-27,2024-11-02,2024-11-04,6,8.0,2.0,0,Completed,829,829,Weather,0
S022,"Mcgee, Poole And Griffith",Montserrat,Clothing,O00010,2023-10-12,2023-10-25,2023-10-14,13,2.0,-11.0,1,Completed,841,841,,1
S021,Taylor-Collins,Sri Lanka,Clothing,O00011,2024-11-14,2024-12-02,2024-12-08,18,24.0,6.0,0,Partial,490,471,Unknown,0
S037,"Young, Rivera And Cowan",Heard Island and McDonald Islands,Food,O00012,2024-02-22,2024-03-19,2024-03-18,26,25.0,-1.0,1,Completed,75,75,,0
S033,Romero-Phillips,Mauritania,Automotive,O00013,2024-06-12,2024-07-06,2024-06-22,24,10.0,-14.0,1,Completed,348,348,,0
S050,Wright-Stewart,Azerbaijan,Automotive,O00014,2025-05-19,2025-06-08,2025-06-11,20,23.0,3.0,0,Completed,956,956,Weather,0
S009,Martinez Plc,Zambia,Automotive,O00015,2025-08-14,2025-09-02,2025-09-04,19,21.0,2.0,0,Partial,114,112,Strike,1
S026,Reid Llc,South Africa,Automotive,O00016,2024-11-07,2024-12-06,2024-12-01,29,24.0,-5.0,1,Completed,684,684,,0
S007,"Morris, Day And Miller",Dominica,Automotive,O00017,2025-03-27,2025-04-06,2025-04-03,10,7.0,-3.0,1,Completed,287,287,,0
S042,Casey Plc,Colombia,Clothing,O00018,2024-08-31,2024-09-13,2024-09-21,13,21.0,8.0,0,Completed,600,600,Strike,0
S001,Jenkins Inc,Mongolia,Clothing,O00019,2025-01-31,2025-02-24,2025-02-24,24,24.0,0.0,1,Completed,883,883,,0
S027,Pace-Hernandez,British Indian Ocean Territory (Chagos Archipelago),Electronics,O00020,2025-07-08,2025-08-04,2025-08-09,27,32.0,5.0,0,Partial,648,636,Customs,1
S037,"Young, Rivera And Cowan",Heard Island and McDonald Islands,Food,O00021,2024-05-25,2024-06-21,2024-06-24,27,30.0,3.0,0,Completed,621,621,Customs,1
S001,Jenkins Inc,Mongolia,Clothing,O00022,2024-11-19,2024-12-10,2024-11-26,21,7.0,-14.0,1,Partial,284,277,,0
S030,Woods-Stevenson,Cote d'Ivoire,Automotive,O00023,2024-06-03,2024-06-11,2024-06-14,8,11.0,3.0,0,Completed,591,591,Customs,0
S023,"Maldonado, Smith And Ashley",Estonia,Food,O00024,2024-09-11,2024-09-20,2024-09-22,9,11.0,2.0,0,Partial,88,83,Supplier delay,0
S040,Romero Ltd,Jamaica,Food,O00025,2024-01-27,2024-02-23,2024-02-24,27,28.0,1.0,0,Completed,609,609,Unknown,1
